valid_time,latitude,longitude,tp,ro,number,expver
2022-01-01 09:00:00,5.0,95.5,0.0035357475,0.00049877167,0,0001
2022-01-01 09:00:00,5.0,95.75,0.0026955605,0.00062417984,0,0001
2022-01-01 09:00:00,5.0,96.0,0.0012149811,0.00038313866,0,0001
2022-01-01 12:00:00,6.0,95.0,8.010864e-05,0.0,0,0001
2022-01-01 12:00:00,6.0,95.25,0.00013446808,0.0,0,0001
2022-01-01 12:00:00,6.0,95.5,0.00057697296,0.0,0,0001
2022-01-01 12:00:00,6.0,95.75,0.0007953644,0.0,0,0001
2022-01-01 12:00:00,6.0,96.0,0.00061511993,0.0,0,0001
2022-01-01 12:00:00,5.75,95.0,0.00021123886,0.0,0,0001
2022-01-01 12:00:00,5.75,95.25,0.0001616478,2.3841858e-06,0,0001
2022-01-01 12:00:00,5.75,95.5,0.00082445145,2.3841858e-06,0,0001
2022-01-01 12:00:00,5.75,95.75,0.0011057854,0.0,0,0001
2022-01-01 12:00:00,5.75,96.0,0.0007123947,0.0,0,0001
2022-01-01 12:00:00,5.5,95.0,7.8201294e-05,0.0,0,0001
2022-01-01 12:00:00,5.5,95.25,8.869171e-05,4.1007996e-05,0,0001
2022-01-01 12:00:00,5.5,95.5,0.00019788742,6.699562e-05,0,0001
2022-01-01 12:00:00,5.5,95.75,0.00065898895,3.9815903e-05,0,0001
2022-01-01 12:00:00,5.5,96.0,0.0014681816,0.0,0,0001
2022-01-01 12:00:00,5.25,95.0,8.2969666e-05,0.0,0,0001
2022-01-01 12:00:00,5.25,95.25,9.393692e-05,4.9114227e-05,0,0001
2022-01-01 12:00:00,5.25,95.5,8.010864e-05,7.4625015e-05,0,0001
2022-01-01 12:00:00,5.25,95.75,0.000269413,5.6743622e-05,0,0001
2022-01-01 12:00:00,5.25,96.0,0.0002951622,7.224083e-05,0,0001
2022-01-01 12:00:00,5.0,95.0,0.0002360344,0.0,0,0001
2022-01-01 12:00:00,5.0,95.25,0.0010294914,0.0,0,0001
2022-01-01 12:00:00,5.0,95.5,0.00087690353,9.1314316e-05,0,0001
2022-01-01 12:00:00,5.0,95.75,0.00032615662,0.0001718998,0,0001
2022-01-01 12:00:00,5.0,96.0,0.00020122528,0.00016784668,0,0001
2022-01-01 15:00:00,6.0,95.0,0.0008416176,0.0,0,0001
2022-01-01 15:00:00,6.0,95.25,0.0009799004,0.0,0,0001
2022-01-01 15:00:00,6.0,95.5,0.0010523796,0.0,0,0001
2022-01-01 15:00:00,6.0,95.75,0.0009069443,0.0,0,0001
2022-01-01 15:00:00,6.0,96.0,0.0007596016,0.0,0,0001
2022-01-01 15:00:00,5.75,95.0,5.6743622e-05,0.0,0,0001
2022-01-01 15:00:00,5.75,95.25,0.00017023087,2.3841858e-06,0,0001
2022-01-01 15:00:00,5.75,95.5,0.0005207062,2.3841858e-06,0,0001
2022-01-01 15:00:00,5.75,95.75,0.000869751,0.0,0,0001
2022-01-01 15:00:00,5.75,96.0,0.00093364716,0.0,0,0001
2022-01-01 15:00:00,5.5,95.0,2.7656555e-05,0.0,0,0001
2022-01-01 15:00:00,5.5,95.25,4.196167e-05,3.9100647e-05,0,0001
2022-01-01 15:00:00,5.5,95.5,0.00016498566,7.009506e-05,0,0001
2022-01-01 15:00:00,5.5,95.75,0.00053453445,4.386902e-05,0,0001
2022-01-01 15:00:00,5.5,96.0,0.0008196831,0.0,0,0001
2022-01-01 15:00:00,5.25,95.0,3.385544e-05,0.0,0,0001
2022-01-01 15:00:00,5.25,95.25,3.1471252e-05,4.3153763e-05,0,0001
2022-01-01 15:00:00,5.25,95.5,3.2424927e-05,7.033348e-05,0,0001
2022-01-01 15:00:00,5.25,95.75,0.00021314621,5.698204e-05,0,0001
2022-01-01 15:00:00,5.25,96.0,0.00025606155,7.271767e-05,0,0001
2022-01-01 15:00:00,5.0,95.0,0.00033569336,0.0,0,0001
2022-01-01 15:00:00,5.0,95.25,0.00014925003,0.0,0,0001
2022-01-01 15:00:00,5.0,95.5,0.00021123886,7.200241e-05,0,0001
2022-01-01 15:00:00,5.0,95.75,0.00013256073,0.00012898445,0,0001
2022-01-01 15:00:00,5.0,96.0,4.4345856e-05,0.00012922287,0,0001
2022-01-01 18:00:00,6.0,95.0,0.00036001205,0.0,0,0001
2022-01-01 18:00:00,6.0,95.25,0.0005092621,0.0,0,0001
2022-01-01 18:00:00,6.0,95.5,0.00077342987,0.0,0,0001
2022-01-01 18:00:00,6.0,95.75,0.00091362,0.0,0,0001
2022-01-01 18:00:00,6.0,96.0,0.0009860992,0.0,0,0001
2022-01-01 18:00:00,5.75,95.0,5.9127808e-05,0.0,0,0001
2022-01-01 18:00:00,5.75,95.25,0.000114917755,2.3841858e-06,0,0001
2022-01-01 18:00:00,5.75,95.5,0.0005021095,2.3841858e-06,0,0001
2022-01-01 18:00:00,5.75,95.75,0.0008444786,0.0,0,0001
2022-01-01 18:00:00,5.75,96.0,0.00092220306,0.0,0,0001
2022-01-01 18:00:00,5.5,95.0,1.04904175e-05,0.0,0,0001
2022-01-01 18:00:00,5.5,95.25,4.5776367e-05,3.9577484e-05,0,0001
2022-01-01 18:00:00,5.5,95.5,0.00013589859,6.532669e-05,0,0001
2022-01-01 18:00:00,5.5,95.75,0.00035476685,3.862381e-05,0,0001
2022-01-01 18:00:00,5.5,96.0,0.0006875992,0.0,0,0001
2022-01-01 18:00:00,5.25,95.0,6.532669e-05,0.0,0,0001
2022-01-01 18:00:00,5.25,95.25,2.6226044e-05,4.196167e-05,0,0001
2022-01-01 18:00:00,5.25,95.5,1.3828278e-05,6.532669e-05,0,0001
2022-01-01 18:00:00,5.25,95.75,0.00010967255,4.4822693e-05,0,0001
2022-01-01 18:00:00,5.25,96.0,0.000116825104,5.1498413e-05,0,0001
2022-01-01 18:00:00,5.0,95.0,0.0003838539,0.0,0,0001
2022-01-01 18:00:00,5.0,95.25,4.005432e-05,0.0,0,0001
2022-01-01 18:00:00,5.0,95.5,1.9073486e-05,4.5776367e-05,0,0001
2022-01-01 18:00:00,5.0,95.75,7.6293945e-06,0.00010108948,0,0001
2022-01-01 18:00:00,5.0,96.0,1.1920929e-05,0.000120162964,0,0001
2022-01-01 21:00:00,6.0,95.0,0.0005745888,0.0,0,0001
2022-01-01 21:00:00,6.0,95.25,0.00074386597,0.0,0,0001
2022-01-01 21:00:00,6.0,95.5,0.00085926056,0.0,0,0001
2022-01-01 21:00:00,6.0,95.75,0.0008406639,0.0,0,0001
2022-01-01 21:00:00,6.0,96.0,0.00073575974,0.0,0,0001
2022-01-01 21:00:00,5.75,95.0,0.00040483475,0.0,0,0001
2022-01-01 21:00:00,5.75,95.25,0.00058078766,5.2452087e-06,0,0001
2022-01-01 21:00:00,5.75,95.5,0.0007147789,5.2452087e-06,0,0001
2022-01-01 21:00:00,5.75,95.75,0.00069093704,0.0,0,0001
2022-01-01 21:00:00,5.75,96.0,0.00055933,0.0,0,0001
2022-01-01 21:00:00,5.5,95.0,0.00029277802,0.0,0,0001
2022-01-01 21:00:00,5.5,95.25,0.00054359436,8.72612e-05,0,0001
2022-01-01 21:00:00,5.5,95.5,0.00082063675,0.00017261505,0,0001
2022-01-01 21:00:00,5.5,95.75,0.0010051727,0.00011444092,0,0001
2022-01-01 21:00:00,5.5,96.0,0.0009326935,0.0,0,0001
2022-01-01 21:00:00,5.25,95.0,0.00012874603,0.0,0,0001
2022-01-01 21:00:00,5.25,95.25,0.00023031235,6.914139e-05,0,0001
2022-01-01 21:00:00,5.25,95.5,0.00029039383,0.00012254715,0,0001
2022-01-01 21:00:00,5.25,95.75,0.00038433075,9.727478e-05,0,0001
